,Order Number,Finished Good,Order Size,Item_Number,Quantity,Shared_parts
559,75,1,3,SSW0K51133,2,2
560,75,1,3,SSW0K51575,1,.
561,75,1,3,SSW0G44392,2,4
562,75,1,3,000000000031028776,1,.
563,75,1,3,000000000031040179,2,5
564,75,1,3,000000000031503985,1,.
565,75,1,3,PROC10204,2,2
566,75,1,3,000000000031034776,1,.
567,75,1,3,PROC2237,1,.
568,75,1,3,PROC7029,1,.
569,75,1,3,000000000031045548,2,2
570,75,1,3,000000000031045550,2,2
571,75,1,3,000000000031034609,1,.
572,75,1,3,000000000067000739,1,.
573,75,1,3,PROC2802,1,.
574,75,1,3,000000000031037296,1,.
575,75,1,3,SP10G00161,1,.
576,75,1,3,PROC8213,2,3
577,75,1,3,SL10F25678,1,.
578,75,1,3,SPP0G54600,1,.
579,75,1,3,PROC8215,2,4
580,75,1,3,SA70K11490,2,2
581,75,1,3,PROC1811,1,.
582,75,1,3,PROC9106,2,2
583,75,1,3,SSW0K51546,2,2
584,75,1,3,SPP0G54610,1,.
585,75,1,3,PROC9203,2,2
586,75,1,3,PROC12008,1,.
587,75,1,3,SSW0N27927,2,4
588,75,1,3,SSW0N29515,1,.
589,75,1,3,SPP0G98370,1,.
590,75,1,3,PROC1811,2,2
591,75,1,3,PROC10224,1,.
592,77,1,1,000000000000008820,1,.
593,77,1,1,SSW0G43707,2,2
594,77,1,1,SSW0G44348,2,3
595,77,1,1,SSW0G44670,1,.
596,77,1,1,SSW0K51133,2,2
597,77,1,1,SSW0K51575,1,.
598,77,1,1,SSW0G44392,2,4
599,77,1,1,000000000031028776,1,.
600,77,1,1,000000000031040179,2,5
601,77,1,1,000000000031503985,1,.
602,77,1,1,PROC10204,2,2
603,77,1,1,000000000031034776,1,.
604,77,1,1,PROC2237,1,.
605,77,1,1,PROC7029,1,.
606,77,1,1,000000000031045548,2,2
607,77,1,1,000000000031045550,2,2
608,77,1,1,000000000031034609,1,.
609,77,1,1,000000000067000739,1,.
610,77,1,1,PROC2802,1,.
611,77,1,1,000000000031037296,1,.
612,77,1,1,SP10G00161,1,.
613,77,1,1,PROC8213,2,3
614,77,1,1,SL10F25678,1,.
615,77,1,1,SPP0G54600,1,.
616,77,1,1,PROC8215,2,4
617,77,1,1,SA70K11490,2,2
618,77,1,1,PROC1811,1,.
619,77,1,1,PROC9106,2,2
620,77,1,1,SSW0K51546,2,2
621,77,1,1,SPP0G54610,1,.
622,77,1,1,PROC9203,2,2
623,77,1,1,PROC12008,1,.
624,77,1,1,SSW0N27927,2,4
625,77,1,1,SSW0N29515,1,.
626,77,1,1,SPP0G98370,1,.
627,77,1,1,PROC1811,2,2
628,77,1,1,PROC10224,1,.
629,79,1,1,000000000000008820,1,.
630,79,1,1,SSW0G43707,2,2
631,79,1,1,SSW0G44348,2,3
632,79,1,1,SSW0G44670,1,.
633,79,1,1,SSW0K51133,2,2
634,79,1,1,SSW0K51575,1,.
635,79,1,1,SSW0G44392,2,4
636,79,1,1,000000000031028776,1,.
637,79,1,1,000000000031040179,2,5
638,79,1,1,000000000031503985,1,.
639,79,1,1,PROC10204,2,2
640,79,1,1,000000000031034776,1,.
641,79,1,1,PROC2237,1,.
642,79,1,1,PROC7029,1,.
643,79,1,1,000000000031045548,2,2
644,79,1,1,000000000031045550,2,2
645,79,1,1,000000000031034609,1,.
646,79,1,1,000000000067000739,1,.
647,79,1,1,PROC2802,1,.
648,79,1,1,000000000031037296,1,.
649,79,1,1,SP10G00161,1,.
650,79,1,1,PROC8213,2,3
651,79,1,1,SL10F25678,1,.
652,79,1,1,SPP0G54600,1,.
653,79,1,1,PROC8215,2,4
654,79,1,1,SA70K11490,2,2
655,79,1,1,PROC1811,1,.
656,79,1,1,PROC9106,2,2
657,79,1,1,SSW0K51546,2,2
658,79,1,1,SPP0G54610,1,.
659,79,1,1,PROC9203,2,2
660,79,1,1,PROC12008,1,.
661,79,1,1,SSW0N27927,2,4
662,79,1,1,SSW0N29515,1,.
663,79,1,1,SPP0G98370,1,.
664,79,1,1,PROC1811,2,2
665,79,1,1,PROC10224,1,.
666,89,1,1,000000000000008820,1,.
667,89,1,1,SSW0G43707,2,2
668,89,1,1,SSW0G44348,2,3
669,89,1,1,SSW0G44670,1,.
670,89,1,1,SSW0K51133,2,2
671,89,1,1,SSW0K51575,1,.
672,89,1,1,SSW0G44392,2,4
673,89,1,1,000000000031028776,1,.
674,89,1,1,000000000031040179,2,5
675,89,1,1,000000000031503985,1,.
676,89,1,1,PROC10204,2,2
677,89,1,1,000000000031034776,1,.
678,89,1,1,PROC2237,1,.
679,89,1,1,PROC7029,1,.
680,89,1,1,000000000031045548,2,2
681,89,1,1,000000000031045550,2,2
682,89,1,1,000000000031034609,1,.
683,89,1,1,000000000067000739,1,.
684,89,1,1,PROC2802,1,.
685,89,1,1,000000000031037296,1,.
686,89,1,1,SP10G00161,1,.
687,89,1,1,PROC8213,2,3
688,89,1,1,SL10F25678,1,.
689,89,1,1,SPP0G54600,1,.
690,89,1,1,PROC8215,2,4
691,89,1,1,SA70K11490,2,2
692,89,1,1,PROC1811,1,.
693,89,1,1,PROC9106,2,2
694,89,1,1,SSW0K51546,2,2
695,89,1,1,SPP0G54610,1,.
696,89,1,1,PROC9203,2,2
697,89,1,1,PROC12008,1,.
698,89,1,1,SSW0N27927,2,4
699,89,1,1,SSW0N29515,1,.
700,89,1,1,SPP0G98370,1,.
701,89,1,1,PROC1811,2,2
702,89,1,1,PROC10224,1,.
703,94,1,1,000000000000008820,1,.
704,94,1,1,SSW0G43707,2,2
705,94,1,1,SSW0G44348,2,3
706,94,1,1,SSW0G44670,1,.
707,94,1,1,SSW0K51133,2,2
708,94,1,1,SSW0K51575,1,.
709,94,1,1,SSW0G44392,2,4
710,94,1,1,000000000031028776,1,.
711,94,1,1,000000000031040179,2,5
712,94,1,1,000000000031503985,1,.
713,94,1,1,PROC10204,2,2
714,94,1,1,000000000031034776,1,.
715,94,1,1,PROC2237,1,.
716,94,1,1,PROC7029,1,.
717,94,1,1,000000000031045548,2,2
718,94,1,1,000000000031045550,2,2
719,94,1,1,000000000031034609,1,.
720,94,1,1,000000000067000739,1,.
721,94,1,1,PROC2802,1,.
722,94,1,1,000000000031037296,1,.
723,94,1,1,SP10G00161,1,.
724,94,1,1,PROC8213,2,3
725,94,1,1,SL10F25678,1,.
726,94,1,1,SPP0G54600,1,.
